Codice;Nome pozzo;Anno;Scopo;Esito;Prof;Tipo titolo;Nome titolo ;Operatore;Provincia/ Zona;Terra/ Mare;Latitudine;Longitudine;Profilo;Disp;Pdf
1167;CANDELA 054 DIR;1991;S;GA;1164;M;CANDELA;AGIP;FG;T;41°14'29,50'';02°57'41,20'' E;3055;No;No
1169;CANDELA 056 DIR;1991;S;GA;1166;M;CANDELA;AGIP;FG;T;41°14'29,50'';02°57'41,20'' E;3056;No;No
1265;CASALMORANO 001;1991;E;NP;2513;M;CIGNONE;AGIP;CR;T;45°16'54,00'';02°31'37,50'' W;2936;No;No
1282;CASCINA S.PIETRO 001 DIR;1991;E;NP;1752;C;CASCINA S. PIETRO;AGIP;CR;T;45°26'30,30'';02°54'28,15'' W;2934;Sì;Sì
1347;CASTELLACCIO 001 DIR;1991;E;NP;2009;M;REGGENTE;PETREX;FG;T;41°24'08,00'';02°57'15,50'' E;2825;No;No
1544;CELLINO 031 DIR STO;1991;S;GA;2243;R;CELLINO;SELM;TE;T;42°33'25,10'';01°24'58,07'' E;2823;No;No
1717;CICOGNOLO 001;1991;E;NP;1455;M;VESCOVATO;AGIP;CR;T;45°09'34,00'';02°15'48,70'' W;2933;No;No
2023;CORREGGIO 034 DIR;1991;S;GA;1308;M;CORREGGIO;AGIP;RE;T;44°47'04,00'';01°43'04,00'' W;2883;Sì;No
2024;CORREGGIO 035 DIR;1991;S;GA;1115;M;CORREGGIO;AGIP;RE;T;44°47'04,00'';01°43'04,00'' W;2883;Sì;No
2025;CORREGGIO 036 DIR;1991;S;GA;1117;M;CORREGGIO;AGIP;RE;T;44°47'04,00'';01°43'04,00'' W;2884;Sì;No
2026;CORREGGIO 037 DIR;1991;S;GA;1108;M;CORREGGIO;AGIP;RE;T;44°47'04,00'';01°43'04,00'' W;2884;Sì;No
2027;CORREGGIO 038 DIR;1991;S;GA;1134;M;CORREGGIO;AGIP;RE;T;44°47'04,00'';01°43'04,00'' W;2885;Sì;No
2028;CORREGGIO 039 DIR;1991;S;NP;1277;M;CORREGGIO;AGIP;RE;T;44°47'04,00'';01°43'04,00'' W;2885;Sì;No
2029;CORREGGIO 039 DIR A;1991;S;GA;1303;M;CORREGGIO;AGIP;RE;T;44°47'04,00'';01°43'04,00'' W;2885;Sì;No
2035;CORTE VITTORIA 001;1991;E;NP;6118;C;CORTE VITTORIA;AGIP;FE;T;44°54'05,00'';00°27'52,60'' W;2976;Sì;Sì
2160;CORTEMAGGIORE 120 DIR;1991;T;GA;1563;M;CORTEMAGGIORE;AGIP;PC;T;44°59'31,20'';02°30'12,00'' W;2845;No;No
2161;CORTEMAGGIORE 121 DIR;1991;T;GA;1505;M;CORTEMAGGIORE;AGIP;PC;T;44°59'31,20'';02°30'12,00'' W;2845;No;No
2162;CORTEMAGGIORE 122 DIR;1991;T;GA;1555;M;CORTEMAGGIORE;AGIP;PC;T;44°59'31,20'';02°30'12,00'' W;2846;No;No
2163;CORTEMAGGIORE 123 DIR;1991;T;GA;1517;M;CORTEMAGGIORE;AGIP;PC;T;44°59'31,20'';02°30'12,00'' W;2846;No;No
2164;CORTEMAGGIORE 124 DIR;1991;T;GA;1517;M;CORTEMAGGIORE;AGIP;PC;T;44°59'31,20'';02°30'12,00'' W;2847;No;No
2165;CORTEMAGGIORE 125 DIR;1991;T;GA;1513;M;CORTEMAGGIORE;AGIP;PC;T;44°59'31,20'';02°30'12,00'' W;2847;No;No
2292;DANIELA 001;1991;E;NP;2635;R;A.R 68.RI;AGIP;ZA;M;44°50'29,85'';12°41'14,80'';2982;Sì;No
2329;DEBORA 002;1991;E;NP;1785;R;A.R 73.AX;AGIP;ZA;M;44°48'18,14'';13°00'53,35'';2647;No;No
2338;DEMETRA 001;1991;E;GA;1400;M;A.C 16.AG;AGIP;ZA;M;45°05'59,50'';12°54'12,26'';2970;No;No
2339;DEMETRA 002;1991;E;GA;1350;M;A.C 16.AG;AGIP;ZA;M;45°05'41,36'';12°57'59,20'';2970;No;No
2358;DINNELLA 001;1991;E;NP;1785;M;MULINO;SELM;MT;T;40°34'24,73'';03°50'52,50'' E;2871;Sì;Sì
2369;DONATELLA 002;1991;E;GA;1930;M;A.C 9.AG;AGIP;ZA;M;45°08'05,12'';12°34'35,60'';2876;No;No
2379;DOROTEA 002;1991;E;GA;1580;M;A.C 16.AG;AGIP;ZA;M;45°09'32,60'';12°43'41,14'';2287;No;No
2408;DOSSO DEGLI ANGELI 028;1991;S;NP;3517;M;DOSSO DEGLI ANGELI;AGIP;RA;T;44°35'34,20'';00°12'16,90'' W;0;No;No
2413;DOSSO DEGLI ANGELI 032 DIR;1991;S;GA;3867;M;DOSSO DEGLI ANGELI;AGIP;RA;T;44°35'34,20'';00°12'16,90'' W;3062;No;No
2440;ELISABETTA 001;1991;E;NP;2393;R;A.R 92.EA;AGIP;ZA;M;44°51'19,96'';12°37'47,88'';2972;No;No
2443;EMANUELA 001;1991;E;GA;1821;M;A.C 15.AX;AGIP;ZA;M;44°49'32,48'';12°55'35,75'';3004;No;No
2491;FABIOLA 001;1991;E;GA;1646;R;A.R 80.AG;AGIP;ZA;M;45°13'54,17'';12°30'39,45'';2918;No;No
2622;FONTE GIANNINO 001;1991;E;GA;1206;M;MACERATA;SPI;MC;T;43°17'53,00'';01°07'21,00'' E;2855;No;No
2786;GAIA 003;1991;E;NP;1948;M;A.C 14.AS;AGIP;ZA;M;44°54'39,15'';12°46'42,22'';2137;No;No
2818;GARLASCO 001;1991;E;NP;6754;R;VIGEVANO;AGIP;PV;T;45°12'21,50'';03°32'24,00'' W;2864;No;No
2971;GIAURONE 005 DIR;1991;S;OL;3519;M;GIAURONE;SARCIS;CL;T;37°08'35,40'';01°51'59,00'' E;0;No;No
2996;GIOVANNA 008 DIR;1991;S;GA;1798;M;B.C 10.AS;AGIP;ZB;M;42°46'02,32'';14°27'50,62'';2895;No;No
2998;GIOVANNA 010 DIR;1991;S;GA;1646;M;B.C 10.AS;AGIP;ZB;M;42°46'02,32'';14°27'50,62'';2951;No;No
2999;GIOVANNA 011 DIR;1991;S;GA;1570;M;B.C 10.AS;AGIP;ZB;M;42°46'02,32'';14°27'50,62'';2951;No;No
3000;GIOVANNA 012 DIR;1991;S;GA;1900;M;B.C 10.AS;AGIP;ZB;M;42°46'02,32'';14°27'50,62'';2896;No;No
3003;GIOVANNA 015 DIR;1991;S;GA;1573;M;B.C 10.AS;AGIP;ZB;M;42°46'02,32'';14°27'50,62'';2897;No;No
3004;GIOVANNA 016 DIR;1991;S;GA;1643;M;B.C 10.AS;AGIP;ZB;M;42°46'02,32'';14°27'50,62'';2961;No;No
3006;GIOVANNA 018 DIR;1991;S;GA;1384;M;B.C 10.AS;AGIP;ZB;M;42°46'02,32'';14°27'50,62'';2962;No;No
3007;GIOVANNA 019 DIR;1991;S;GA;1481;M;B.C 10.AS;AGIP;ZB;M;42°46'02,32'';14°27'50,62'';2962;No;No
3008;GIOVANNA 020 DIR;1991;S;GA;1388;M;B.C 10.AS;AGIP;ZB;M;42°46'02,32'';14°27'50,62'';2963;No;No
3010;GIOVANNA 021 DIR;1991;S;GA;1386;M;B.C 10.AS;AGIP;ZB;M;42°46'02,32'';14°27'50,62'';2898;No;No
3014;GISELLA 001;1991;E;NP;1913;R;A.R 69.AG;AGIP;ZA;M;45°13'46,20'';12°36'09,70'';2975;No;No
3021;GIUDITTA OVEST 001;1991;E;NP;1537;R;A.R 69.AG;AGIP;ZA;M;45°13'47,73'';12°42'02,74'';2975;No;No
3135;ILARIA 001;1991;E;GA;3830;M;A.C 31.EA;AGIP;ZA;M;44°39'05,21'';12°18'43,46'';2870;No;No
3136;ILARIA 002 DIR;1991;E;NP;3950;M;A.C 31.EA;AGIP;ZA;M;44°39'33,00'';12°17'07,00'';2870;No;No
3280;LEONI 001;1991;E;GA;2500;R;MONTEGRANARO;FINA;AP;T;43°13'21,10'';01°14'52,20'' E;2858;No;No
3395;LUNA 029 DIR;1991;S;GA;1835;M;D.C 1.AG;AGIP;ZD;M;39°05'05,73'';17°12'00,57'';2899;No;No
3397;LUNA 031 DIR;1991;S;GA;1837;M;D.C 1.AG;AGIP;ZD;M;39°05'05,73'';17°12'00,57'';2900;No;No
3398;LUNA 032 DIR;1991;S;GA;1838;M;D.C 1.AG;AGIP;ZD;M;39°05'05,73'';17°12'00,57'';2901;No;No
3399;LUNA 033 DIR;1991;S;GA;1863;M;D.C 1.AG;AGIP;ZD;M;39°05'05,73'';17°12'00,57'';2901;No;No
3400;LUNA 034 DIR;1991;S;GA;1862;M;D.C 1.AG;AGIP;ZD;M;39°05'05,73'';17°12'00,57'';2952;No;No
3401;LUNA 035 DIR;1991;S;GA;1860;M;D.C 1.AG;AGIP;ZD;M;39°05'05,73'';17°12'00,57'';2952;No;No
3402;LUNA 036 DIR;1991;S;GA;1863;M;D.C 1.AG;AGIP;ZD;M;39°05'05,73'';17°12'00,57'';2959;No;No
3403;LUNA 037 DIR;1991;S;GA;1867;M;D.C 1.AG;AGIP;ZD;M;39°05'05,73'';17°12'00,57'';2959;No;No
3404;LUNA 038 DIR;1991;S;GA;1863;M;D.C 1.AG;AGIP;ZD;M;39°05'05,73'';17°12'00,57'';2960;No;No
3405;LUNA 039 DIR;1991;S;GA;1859;M;D.C 1.AG;AGIP;ZD;M;39°05'05,73'';17°12'00,57'';2960;No;No
3487;MANUELA 001 DIR;1991;E;GA;2418;M;A.C 13.AS;AGIP;ZA;M;44°02'55,04'';13°14'08,99'';2983;No;No
3636;MELANIA 002;1991;E;GA;1730;R;A.R 78.RC;SORI;ZA;M;44°51'08,29'';12°57'87,20'';2973;No;No
3657;METAPONTUM 001;1991;E;NP;1035;R;D.R 67.FI;FINA;ZD;M;40°10'45,23'';16°48'03,46'';0;Sì;No
3785;MIRAZZANO 001 DIR;1991;E;NP;1957;R;COLOGNO MONZESE;AGIP;MI;T;45°27'27,00'';03°07'39,00'' W;2935;Sì;Sì
3850;MONTE ALPI 002 DIR;1991;E;OL;3906;R;MONTE ALPI;PETREX;PZ;T;40°19'38,00'';03°29'04,00'' E;2859;No;No
3890;MONTE CAVALLO 001;1991;S;GA;1900;M;MACERATA;SPI;MC;T;43°15'04,90'';01°05'01,40'' E;2839;No;No
3940;MONTE S.PIETRO 001 DIR;1991;E;NP;2291;R;MONTERUBBIANO;EDISON GAS;AP;T;43°11'42,90'';01°16'53,60'' E;2882;No;No
4030;MONTESTILLO 020;1991;S;GA;2210;M;TERTIVERI;AGIP;FG;T;41°29'51,00'';02°46'43,00'' E;2953;No;No
4109;NARDI 001 DIR;1991;E;NP;1122;R;TOLENTINO;ELF;MC;T;43°12'13,10'';00°51'57,10'' E;2819;Sì;Sì
4119;NETTUNO 001;1991;E;NP;1269;R;C.R131.AG;AGIP;ZC;M;37°32'05,98'';11°49'52,06'';2842;Sì;Sì
4161;NUNZIA 001;1991;E;NP;2250;M;C.C 2.AS;AGIP;ZC;M;37°23'44,47'';11°59'28,06'';2848;Sì;Sì
4176;OLTOLINA 003 DIR;1991;E;GA;1854;M;SORESINA;AGIP;CR;T;45°14'23,00'';02°36'52,00'' W;2938;No;No
4459;PISTICCI 025 DIR;1991;P;GA;1558;M;SERRA PIZZUTA;AGIP;MT;T;40°24'03,60'';04°04'31,10'' E;2902;No;No
4461;PISTICCI 026 DIR;1991;P;GA;1409;M;SERRA PIZZUTA;AGIP;MT;T;40°24'03,60'';04°04'31,10'' E;2902;No;No
4463;PISTICCI 027 DIR;1991;P;GA;1616;M;SERRA PIZZUTA;AGIP;MT;T;40°24'03,60'';04°04'31,10'' E;2903;No;No
4470;PISTICCI 032 DIR;1991;S;GA;1697;M;SERRA PIZZUTA;AGIP;MT;T;40°24'01,80'';04°04'14,00'' E;2907;No;No
4471;PISTICCI 033 DIR;1991;S;GA;1563;M;SERRA PIZZUTA;AGIP;MT;T;40°24'01,80'';04°04'14,00'' E;2907;No;No
4472;PISTICCI 034 DIR;1991;S;GA;1517;M;SERRA PIZZUTA;AGIP;MT;T;40°24'01,80'';04°04'14,00'' E;2908;No;No
4561;POLICORO 001;1991;E;IS;705;M;POLICORO;SPI;MT;T;40°13'51,00'';04°12'47,00'' E;0;No;No
4784;PORTO GARIBALDI 029 DIR;1991;S;GA;3674;M;A.C 1.AG;AGIP;ZA;M;44°31'23,29'';12°30'43,91'';2887;No;No
4785;PORTO GARIBALDI 030 DIR;1991;S;GA;3685;M;A.C 1.AG;AGIP;ZA;M;44°31'23,29'';12°30'43,91'';2887;No;No
4786;PORTO GARIBALDI 031 DIR;1991;S;GA;3695;M;A.C 1.AG;AGIP;ZA;M;44°31'23,29'';12°30'43,91'';2888;No;No
4864;PREZIOSO 008 DIR;1991;S;OL;5077;M;C.C 3.AG;AGIP;ZC;M;37°00'31,05'';14°02'42,30'';2843;No;No
4866;PREZIOSO 010 DIR;1991;S;OL;5070;M;C.C 3.AG;AGIP;ZC;M;37°00'31,05'';14°02'42,30'';2815;No;No
4889;QUERCIOLA 001;1991;E;NP;3845;R;CASTELNUOVO NE' MONTI;LASMO;RE;T;44°32'02,50'';01°53'35,00'' W;2832;Sì;Sì
5157;RIO CASAROLA 001 DIR;1991;E;NP;1305;M;CORTEMAGGIORE;AGIP;PC;T;44°58'55,10'';02°32'41,00'' W;2945;No;No
5320;RIPI 066;1991;E;NP;729;M;STRANGOLAGALLI;PENTEX;FR;T;41°34'43,00'';00°59'38,00'' E;0;No;No
5376;ROSATE 001;1991;E;NP;5338;M;GAGGIANO;AGIP;MI;T;45°20'21,60'';03°25'51,50'' W;2872;No;No
5389;ROSETO 010;1991;S;GA;2523;M;TERTIVERI;AGIP;FG;T;41°27'17,00'';02°46'54,50'' E;2906;No;No
5440;ROTONDELLA 003 BIS;1991;S;NP;1210;M;POLICORO;SPI;MT;T;40°11'10,00'';04°06'00,00'' E;2969;No;No
5442;ROTTOFRENO 001;1991;E;GA;2717;M;PONTETIDONE;AGIP;PC;T;45°02'48,00'';02°54'06,00'' W;2879;No;No
5505;S.ANTONIO 001 DIR;1991;E;GA;1810;R;TARZO;FIAT-RIMI;TV;T;45°58'26,99'';00°08'03,09'' W;2829;No;No
5579;S.GERVASIO 001 DIR;1991;E;GA;2277;M;SAN GERVASIO;AGIP;BS;T;45°19'25,30'';02°16'43,38'' W;2937;No;No
5784;S.SALVO 038 DIR;1991;T;GA;1158;S;FIUME TRESTE;AGIP;CH;T;42°00'15,00'';02°16'09,00'' E;2954;No;No
5785;S.SALVO 039 DIR;1991;T;GA;1159;S;FIUME TRESTE;AGIP;CH;T;42°00'15,00'';02°16'09,00'' E;2954;No;No
5786;S.SALVO 040 DIR;1991;T;GA;1152;S;FIUME TRESTE;AGIP;CH;T;42°00'16,68'';02°16'44,78'' E;2955;No;No
5787;S.SALVO 041 DIR;1991;T;GA;1149;S;FIUME TRESTE;AGIP;CH;T;42°00'16,68'';02°16'44,78'' E;2955;No;No
5788;S.SALVO 042 DIR;1991;T;GA;1149;S;FIUME TRESTE;AGIP;CH;T;42°00'16,68'';02°16'44,78'' E;3057;No;No
5789;S.SALVO 043 DIR;1991;T;GA;1148;S;FIUME TRESTE;AGIP;CH;T;42°00'16,68'';02°16'44,78'' E;3057;No;No
5790;S.SALVO 044 DIR;1991;T;GA;1147;S;FIUME TRESTE;AGIP;CH;T;42°00'15,82'';02°16'41,99'' E;3058;No;No
5791;S.SALVO 045 DIR;1991;T;GA;1142;S;FIUME TRESTE;AGIP;CH;T;42°00'15,82'';02°16'41,99'' E;3058;No;No
5792;S.SALVO 046 DIR;1991;T;GA;1144;S;FIUME TRESTE;AGIP;CH;T;42°00'15,82'';02°16'41,99'' E;3079;No;No
5793;S.SALVO 047 DIR;1991;T;GA;1157;S;FIUME TRESTE;AGIP;CH;T;42°00'15,82'';02°16'41,99'' E;3079;No;No
5794;S.SALVO 048 DIR;1991;T;GA;1132;S;FIUME TRESTE;AGIP;CH;T;42°00'15,82'';02°16'41,99'' E;3080;No;No
5795;S.SALVO 049 DIR;1991;T;GA;1152;S;FIUME TRESTE;AGIP;CH;T;42°00'15,82'';02°16'41,99'' E;3080;No;No
5814;S.SALVO 068 DIR;1991;T;GA;1176;S;FIUME TRESTE;AGIP;CH;T;42°00'40,61'';02°14'05,26'' E;3110;No;No
5830;S.SILVESTRO 001;1991;E;NP;3003;R;PESCARA;FINA;PE;T;42°26'23,50'';01°46'16,60'' E;3025;Sì;Sì
5837;S.STEFANO MARE 008;1991;S;NP;1318;M;B.C 1.LF;ELF;ZB;M;42°12'55,18'';14°38'18,62'';2828;No;No
5838;S.STEFANO MARE 008 BIS;1991;S;GA;1636;M;B.C 1.LF;ELF;ZB;M;42°12'56,89'';14°38'12,43'';2828;No;No
6059;SERENA 001;1991;E;NP;1748;R;A.R 75.SE;PETREX;ZA;M;44°06'02,00'';12°57'18,00'';2984;Sì;Sì
6134;SERRA SPAVENTO 007 DIR;1991;S;GA;1456;M;MASSERIA SPAVENTO;SELM;FG;T;41°05'37,95'';03°13'13,93'' E;2862;Sì;No
6157;SETTALA 020 DIR;1991;T;GA;1284;M;SETTALA;AGIP;MI;T;45°26'50,70'';03°02'05,80'' W;2814;No;No
6158;SETTALA 021 DIR;1991;T;GA;1283;M;SETTALA;AGIP;MI;T;45°26'50,70'';03°02'05,80'' W;2814;No;No
6159;SETTALA 022 DIR;1991;T;GA;1288;M;SETTALA;AGIP;MI;T;45°26'50,70'';03°02'05,80'' W;3073;No;No
6160;SETTALA 023 DIR;1991;T;GA;1291;M;SETTALA;AGIP;MI;T;45°26'50,70'';03°02'05,80'' W;3073;No;No
6161;SETTALA 024 DIR;1991;T;GA;1314;M;SETTALA;AGIP;MI;T;45°26'50,70'';03°02'05,80'' W;3073;No;No
6178;SILVANA 001;1991;E;NP;5221;R;B.R183.AG;AGIP;ZB;M;42°32'07,65'';14°26'07,92'';2905;Sì;Sì
6224;SORIANO SUD 001;1991;E;NP;1597;M;MACCHIA DI PIERNO;AGIP;FG;T;41°18'07,00'';03°03'49,00'' E;2820;Sì;No
6333;TEMPA ROSSA 002;1991;E;OL;5037;R;TORRENTE SAURO;TOTAL;PZ;T;40°23'44,65'';03°37'25,20'' E;2861;No;No
6405;TORRENTE BAGANZA 001;1991;E;GA;1674;R;TORRENTE BAGANZA;FIAT-RIMI;PR;T;44°40'36,40'';02°18'43,40'' W;2860;No;No
6494;TORRENTE VULGANO 016;1991;S;NP;2610;M;TORRENTE VULGANO;AGIP;FG;T;41°26'53,50'';02°48'18,00'' E;2956;No;No
6501;TORRIONE 001;1991;E;GA;1537;M;MACERATA;SPI;AP;T;43°15'28,50'';01°09'21,10'' E;2881;No;No
6502;TORRIONE 002 DIR;1991;S;GA;1379;M;MACERATA;SPI;AP;T;43°15'28,50'';01°09'21,10'' E;2881;No;No
6503;TORRIONE 003 DIR;1991;S;GA;1555;M;MACERATA;SPI;AP;T;43°15'28,50'';01°09'21,10'' E;2881;No;No
6584;TRECATE 013 DIR;1991;S;OL;5732;M;VILLAFORTUNA-TRECATE;AGIP;NO;T;45°27'35,50'';03°40'41,00'' W;2873;No;No
6587;TRECATE 015;1991;S;OL;6425;M;VILLAFORTUNA-TRECATE;AGIP;NO;T;45°28'08,50'';03°41'39,00'' W;2880;No;No
6588;TRECATE 017;1991;S;OL;6227;M;VILLAFORTUNA-TRECATE;AGIP;NO;T;45°26'46,50'';03°41'41,50'' W;2849;No;No
6709;VALLE ISOLA 001;1991;E;NP;4185;C;VALLE ISOLA;AGIP;FE;T;44°42'47,50'';00°15'25,00'' W;2985;Sì;Sì
6821;VEGA 022 DIR;1991;S;OL;2575;M;C.C 6.EO;SELM;ZC;M;36°32'21,00'';14°37'39,00'';2909;No;No
6823;VEGA 024 LD;1991;S;OL;2621;M;C.C 6.EO;SELM;ZC;M;36°32'21,00'';14°37'39,00'';2910;No;No
6876;VIGNOLA 001;1991;E;IG;3486;R;GRADIZZA;AGIP;FE;T;44°54'49,00'';00°42'00,00'' W;2930;Sì;No
29;AGATIELLO 001;1990;E;NP;1870;R;BANZI;AGIP;MT;T;40°50'47,00'';03°29'33,00'' E;2807;Sì;Sì
419;ASOLA 001 DIR;1990;E;NP;1205;M;MACERATA;SPI;MC;T;43°20'18,40'';01°10'13,30'' E;2794;No;No
589;BARBARA 063 DIR;1990;S;GA;1382;M;A.C 7.AS;AGIP;ZA;M;44°02'58,33'';13°49'02,10'';2795;No;No
590;BARBARA 064;1990;S;GA;1370;M;A.C 7.AS;AGIP;ZA;M;44°02'58,33'';13°49'02,10'';2795;No;No
591;BARBARA 065 DIR;1990;S;GA;1333;M;A.C 7.AS;AGIP;ZA;M;44°02'58,33'';13°49'02,10'';2796;No;No
592;BARBARA 066 DIR;1990;S;GA;1300;M;A.C 7.AS;AGIP;ZA;M;44°02'58,33'';13°49'02,10'';2796;No;No
594;BARBARA 067 DIR;1990;S;GA;1333;M;A.C 7.AS;AGIP;ZA;M;44°02'58,33'';13°49'02,10'';2799;No;No
595;BARBARA 068 DIR;1990;S;GA;1334;M;A.C 7.AS;AGIP;ZA;M;44°02'58,33'';13°49'02,10'';2799;No;No
597;BARBARA 069 DIR;1990;S;GA;1277;M;A.C 7.AS;AGIP;ZA;M;44°02'58,33'';13°49'02,10'';2809;No;No
598;BARBARA 070 DIR;1990;S;GA;1332;M;A.C 7.AS;AGIP;ZA;M;44°02'58,33'';13°49'02,10'';2809;No;No
717;BELGIOIOSO 001;1990;E;NP;1500;R;BRONI;AGIP;PV;T;45°08'11,00'';03°08'54,00'' W;2746;Sì;Sì
876;BORGO 001;1990;E;GA;1300;M;MACERATA;AGIP;MC;T;43°16'54,00'';01°12'56,00'' E;2740;No;No
1287;CASE GHIGI 001;1990;E;NP;2498;M;RAVENNA TERRA;AGIP;RA;T;44°26'14,50'';00°16'09,00'' W;2800;No;No
1288;CASE GHIGI 001 DIR A;1990;E;NP;2500;M;RAVENNA TERRA;AGIP;RA;T;44°26'14,50'';00°16'09,00'' W;2800;No;No
1308;CASSANDRA 001;1990;E;IG;1293;R;B.R212.AG;AGIP;ZB;M;43°51'32,62'';14°10'11,59'';2868;Sì;Sì
1545;CELLINO 032;1990;S;GA;1986;R;CELLINO;SELM;TE;T;42°36'35,00'';01°25'15,00'' E;2742;No;No
1567;CERNIA 001;1990;E;NP;4358;R;C.R 92.LF;ELF;ZC;M;36°18'33,53'';15°08'03,31'';2752;Sì;Sì
1756;CIRCE 001;1990;E;NP;2632;M;B.C 9.AS;AGIP;ZB;M;42°40'49,16'';14°11'11,88'';2808;No;No
1821;CLORINDA 001;1990;E;MG;2210;M;B.C 10.AS;AGIP;ZB;M;42°51'47,64'';14°25'10,14'';2892;No;No
2154;CORTEMAGGIORE 114 DIR;1990;T;GA;1543;M;CORTEMAGGIORE;AGIP;PC;T;44°59'31,20'';02°30'12,00'' W;2805;No;No
2155;CORTEMAGGIORE 115 DIR;1990;T;GA;1578;M;CORTEMAGGIORE;AGIP;PC;T;44°59'31,20'';02°30'12,00'' W;2803;No;No
2156;CORTEMAGGIORE 116 DIR;1990;T;GA;1509;M;CORTEMAGGIORE;AGIP;PC;T;44°59'31,20'';02°30'12,00'' W;2803;No;No
2157;CORTEMAGGIORE 117 DIR;1990;T;GA;1510;M;CORTEMAGGIORE;AGIP;PC;T;44°59'31,20'';02°30'12,00'' W;2804;No;No
2158;CORTEMAGGIORE 118 DIR;1990;T;GA;1535;M;CORTEMAGGIORE;AGIP;PC;T;44°59'31,20'';02°30'12,00'' W;2804;No;No
2159;CORTEMAGGIORE 119 DIR;1990;T;GA;1541;M;CORTEMAGGIORE;AGIP;PC;T;44°59'31,20'';02°30'12,00'' W;2805;No;No
2209;COZZO SCALIA 001;1990;E;NP;3250;R;ROSOLINI;SARCIS;SR;T;36°46'30,30'';02°34'08,60'' E;0;Sì;No
2274;CUPOLONI 001;1990;E;GA;1403;R;FIUME AGRI;FIAT-RIMI;MT;T;40°18'11,40'';04°16'46,33'' E;2735;No;No
2298;DARIA 004 DIR;1990;E;GA;3057;M;A.C 13.AS;AGIP;ZA;M;44°03'55,52'';13°15'21,35'';2856;No;No
2368;DONATELLA 001;1990;E;GA;1792;M;A.C 9.AG;AGIP;ZA;M;45°09'14,54'';12°33'10,54'';2875;No;No
2448;EMILIO 007 DIR;1990;S;OG;3001;M;B.C 3.AS;AGIP;ZB;M;42°55'59,81'';14°14'38,29'';2893;No;No
2449;EMILIO 007 DIR A;1990;S;OL;2983;M;B.C 3.AS;AGIP;ZB;M;42°55'59,81'';14°14'38,29'';2893;No;No
2684;FOSSO DEL BRIGANTE 001;1990;E;GA;1885;M;IL SALICE;PETREX;MT;T;40°20'07,12'';04°15'06,29'' E;2802;No;No
2913;GELA 086 X DIR A;1990;E;OL;3669;R;GELA;AGIP;CL;T;37°06'45,00'';01°51'06,70'' E;0;No;No
2914;GELA 086 X DIR B;1990;E;OL;3556;R;GELA;AGIP;CL;T;37°06'45,00'';01°51'06,70'' E;0;No;No
2950;GENZIANA 001;1990;E;NP;4000;R;C.R130.AG;AGIP;ZC;M;36°59'53,39'';13°50'49,23'';2760;Sì;Sì
2951;GENZIANA 001 DIR A;1990;E;NP;5368;R;C.R130.AG;AGIP;ZC;M;36°59'53,39'';13°50'49,23'';2760;Sì;Sì
2970;GIAURONE 004 DIR;1990;S;OL;3619;M;GIAURONE;SARCIS;CL;T;37°08'35,40'';01°51'59,00'' E;0;No;No
2993;GIOVANNA 006;1990;S;GA;1930;M;B.C 10.AS;AGIP;ZB;M;42°46'02,33'';14°27'50,62'';2894;No;No
2995;GIOVANNA 007 DIR;1990;S;GA;1500;M;B.C 10.AS;AGIP;ZB;M;42°46'02,33'';14°27'50,62'';2894;No;No
3001;GIOVANNA 013 DIR;1990;S;GA;1812;M;B.C 10.AS;AGIP;ZB;M;42°46'02,33'';14°27'50,62'';2896;No;No
3019;GIUDITTA 002;1990;E;GA;1358;R;A.R 69.AG;AGIP;ZA;M;45°13'18,53'';12°44'40,04'';2827;No;No
3020;GIUDITTA 003;1990;E;GA;1290;R;A.R 69.AG;AGIP;ZA;M;45°13'49,66'';12°46'30,20'';2830;No;No
3199;LA PIEVE 001 DIR;1990;E;NP;1428;R;FIUME CHIENTI;SPI;MC;T;43°15'58,00'';00°59'09,40'' E;2765;Sì;Sì
3394;LUNA 028 DIR;1990;S;GA;1837;M;D.C 1.AG;AGIP;ZD;M;39°05'05,74'';17°12'00,57'';2899;No;No
3396;LUNA 030 DIR;1990;S;GA;1865;M;D.C 1.AG;AGIP;ZD;M;39°05'05,74'';17°12'00,57'';2900;No;No
3472;MANARA 002 DIR;1990;E;IG;4087;M;MANARA;AGIP;FE;T;44°45'10,00'';00°13'36,00'' W;2686;No;No
3528;MARTINSICURO MARE 001;1990;E;NP;3978;R;B.R216.IM;LASMO;ZB;M;42°50'18,90'';13°55'44,10'';2767;Sì;Sì
3656;METAPONTO 002 DIR;1990;S;GA;1861;M;IL SALICE;PETREX;MT;T;40°20'57,71'';04°15'03,14'' E;2780;No;No
3770;MINERBIO 077 DIR;1990;T;GA;1248;M;MINERBIO;AGIP;BO;T;44°36'56,00'';00°57'17,00'' W;2866;Sì;No
3771;MINERBIO 078 DIR;1990;T;GA;1248;M;MINERBIO;AGIP;BO;T;44°36'56,00'';00°57'17,00'' W;2866;Sì;No
3772;MINERBIO 079 DIR;1990;T;GA;1250;M;MINERBIO;AGIP;BO;T;44°36'56,00'';00°57'17,00'' W;2865;Sì;No
3773;MINERBIO 080 DIR;1990;T;GA;1256;M;MINERBIO;AGIP;BO;T;44°36'56,00'';00°57'17,00'' W;2865;Sì;No
3774;MINERBIO 081 DIR;1990;T;GA;1249;M;MINERBIO;AGIP;BO;T;44°36'56,00'';00°57'17,00'' W;2869;Sì;No
